"Chandler et al.","2020","USA","Cross-sectional",,"Yes",,,"BMSM",,,,,,,,,,"No",,,,,,"depression",,,"IPV","binge",,,,,,"polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD-10","10",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV",,,,,,,"Past 12 months","At least one per month","Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,"At least 3 categories of substance use","Marijuana not included","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_PrEP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,"RERI",,,,,,,,,,,,"1411",,"No",,"No",,"BMSM on PrEP were most likely to suffer from IPV, engage in problematic binge drinking and polysubstance use. Synergy was found between all the syndemic conditions",,,,,,
"McDaid et al.","2019","International","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,"suicide",,"anxiety",,,,,,,,,,,,,,,,,,,"STI",,,,,,,,,,,,,,,,,,,"physical_health","Scale","PHQ-9","15",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV",,,"psychological_IPV",,,,"Past 12 months",,,"suicidal_thoughts","suicide_attempts",,,"Lifetime",,,"GAD","Scale",,,,,,"GAD-7",,,,"10",,,,,,,,,,,,,,,,,,,,,,,"Self-report of STI diagnosis in the past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_syndemic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O_E",,,,,,,,"9587",,"No",,"No",,"Syndemic indicators of poor physical, mental and sexual health cluster and are partly influenced by a pathogenic social context and salutogenic community assets",,,"salutogenesis",,,
"Martinez et al.","2020","USA","Cross-sectional",,"Yes",,,,"LMSM",,,,,,,,,"No",,,,,,,,,,"binge",,,,,,,,,,,,,,"exchange_sex","discrimination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"At least one episode","Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Exchange sex, as a worker or a client, in the past 12 months","Self-report of prior experience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners",,,,,,,,,,,,,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"464","31","No",,"No",,"Having 2 or more syndemic conditions increased the number of male partners and CAS with casual partners in this sample of Latinx MSM in Philadelphia",,,,,,
"Ogunbajo et al.","2019","Nigeria","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use","PTSD",,,,,,,,,,"AUD",,,,,,,,"tobacco_use",,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD-10","10","stimulants",,"hallucinogens",,"depressants","NPS","opioids",,,"Lifetime","Scale","PC-PTSD","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AUDIT-C","8",,,,,,,,,,,,,,"Tobacco use, lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners",,,,,,,,,,,,,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"50","27.1","No",,"No",,"Association between PTSD and alcohol dependence as well as between alcohol dependence and hard drug use. The number of syndemic conditions was associated with a greater number of male partners but not with inconsistent condom use",,,,,,
"Jiang et al.","2020","China","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,,,,"CSA",,,,,,,,,,,,,,,,,,,,,,,,,"chemsex",,,,,,,,,,,,"Scale","Zung Self Rating Depression Scale","0.5",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV","gay-related_IPV",,,"Past 5 years",,,,,,,,,,,,,,,,,,,,,,,,,,"Definition","Any sexual experience before 12 years old, any unwanted sexual experience between 12 years old and 16 years old or any sexual experience with an adult or someone at least 5 years older before 16 years old",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chem_poppers",,"chem_alcohol","Past 6 months",,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners",,,,,,,,,,,,,"Past 6 months",,,,,"Laboratory-confirmed test or quick testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,"RERI",,,,,"moderation",,,,,,,"976",,"No",,"No",,"Depression and  use of rush popper before sexual intercourse interacted to increase the number of sexual partners. CSA and use of rush popper before sexual intercourse interacted to increase the risk of HIV infection. Neither education nor income moderated the effects of syndemic factors on sexual risks taking or HIV infection",,,,,,
"Quinn et al.","2020","USA","Longitudinal",,"Yes",,,"BMSM","LMSM",,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,"incarceration","unstable_housing",,,,,,"unemployment","healthcare_access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"History of incarceration, past 6 months","Unstable housing, in the past 6 months",,,,,,,,,,,,"Current unemployment",,,,,,,,,,,,,,,"No contact with a healthcare provider, in the past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,"outcome_VL",,,,,,,,,,,,,,,,,,"Criteria",,,"outcome_PrEP_VL_CAS",,,,,,,,,,,,,,"Past 6 months",,,,,,"> 20 HIV RNA copies/mL, assessed via laboratory confirmation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18","score",,,,,,,,,,,,,,"428",,"No",,"No",,"Experiencing structural syndemic conditions was associated with more sexual risk behaviors, both from HIV-positive and HIV-negative participants as well as with a detectable viral load among HIV-positive participants",,,,,,
"Nostlinger et al.","2020","Belgium","Longitudinal",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-9","10","stimulants",,"hallucinogens",,"depressants","NPS",,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,,,"outcome_receptive_CAS",,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18","score",,,,,,,,,,,,,,"200",,"No",,"No",,"There was an interaction effet of recreational effect and drug use, potentiating sexual risk behaviors at baseline but not at 9 months or 18 months follow-up",,,,,,
"Chandler et al.","2020","USA","Cross-sectional",,"Yes",,,"BMSM",,,,,,,,,,"No",,,,,,"depression",,,"IPV","binge",,,,,,"polysubstance",,,,,,,,,,,,,"sexual_risk",,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD-10","10",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV",,,,,,,"Past 12 months","At least one per month","Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,"At least 3 categories of substance use","Marijuana not included","Past 3 months",,,,,,,,,,,,,,,,,,,"number_partners","CAS",,,,,"STI_risk","sex_work","HIV_partner",,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_screening",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Having been screened for HIV at least once in the past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,"RERI",,,,,,,,,,,,"3297",,"No",,"No",,"The men most at risk were more likely to test, such as the syndemic variables did not adequately explain discrepancy in HIV screening among BMSM. Synergy in preventing HIV screening was present between poly drug use, depression and binge drinking as well as between binge drinking, depression and sexual risk behaviors.",,,,,,
"Harkness et al.","2019","USA","Longitudinal",,"Yes",,,,,,"HIVMSM",,,,,,,"No",,,,,,"depression","substance_use","PTSD",,"binge",,,"anxiety",,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-9","10","stimulants",,,,,,,,,"Past 3 months","Scale","SPAN Self-Report Screen","5",,,,,,,,,,,,,,,,,"At least one per week, every week","Past 3 months",,,,,,"social_phobia","panic_disorder","GAD","Scale",,"MINI-SPIN","PHQ",,,,,,,,,,,,"Definition","Finkelhor definition",,"At least 3 categories of substance use","Marijuana included","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12","score",,,,,,,,,,,,,,"390","41.95","No",,"No",,"Syndemic score significantly predicted serodiscordant CAS and this effect was attributable to variation in score within person during the study as well as variation of mean score between participants",,,,,,
"Zhang et al.","2019","USA","Longitudinal",,"Yes",,,"BMSM",,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,,,,"CSA",,,"AUD",,,,,,,,,"unemployment",,,"substance_use_disorder",,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","16",,,,,,,,,,,,,,,,,,,,,"Scale",,,,,,,"CTS2",,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","WSHQ-CSA",,,,,,"CAGE","2",,,,,,,,,,,,,,,"Current unemployment",,,,,,,,,,,,"Scale","TCUDS","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_physical_activity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(days of vigorous activity/4 + days of moderate activity/5 + days of strength building activity/2) / (1/4 + 1/5 + 1/2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12","score",,,,,,,"moderation",,,,,,,"595","41.6","No",,"No",,"Number of syndemic conditions at baseline predicted lower levels of physical activity. No synergistic interaction was found. No evidence of a moderating effect of resilience on the relationship between syndemic conditions and physical activity",,,,"resilience",,
"OCleirigh et al.","2018","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,,"substance_use",,"IPV",,"suicide",,,,"CSA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stimulants",,,,,,"opioids",,,"Past 6 months",,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,,,,,"Lifetime",,,,"suicide_attempts",,,"Lifetime",,,,,,,,,,,,,,,,,,,"Definition","Any unwanted sexual experience before 15 years old",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_HIV",,,,,"outcome_healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,,,,,"cost","number_visits","mental_cost","number_mental_visit",,,,,,,,,,,"score",,,,,,,,,,,,,,"1309","38.56","No",,"No",,"Experiencing syndemic conditions was associated with an increase in medical visits, medical costs and odds of self-reporting a positive HIV status",,,,,,
