title,main_author,publication_year,country,design,subpopulation_studied,condition_name,outcome_name,stat_name,findings
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Alcohol Use Disorder,Sexual risk behaviors,Significant product term ,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use"
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Alcohol Use Disorder,Sexual risk behaviors,Relative Excess Risk due to Interaction,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use"
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Internalised homophobia,Sexual risk behaviors,Mediation Analysis,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use"
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Internalised homophobia,Sexual risk behaviors,Significant product term ,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use"
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Internalised homophobia,Sexual risk behaviors,Relative Excess Risk due to Interaction,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use"
"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Older MSM living with HIV,Depression,Sexual risk behaviors,Regression analysis using summation score,High prevalence of psychiatric conditions (PTSD and depression) as well as substance use among older MSM living with HIV. These psychosocial burdens are associated with unprotected anal intercourse.
"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Older MSM living with HIV,Substance use,Sexual risk behaviors,Regression analysis using summation score,High prevalence of psychiatric conditions (PTSD and depression) as well as substance use among older MSM living with HIV. These psychosocial burdens are associated with unprotected anal intercourse.
"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Older MSM living with HIV,PTSD,Sexual risk behaviors,Regression analysis using summation score,High prevalence of psychiatric conditions (PTSD and depression) as well as substance use among older MSM living with HIV. These psychosocial burdens are associated with unprotected anal intercourse.
"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Older MSM living with HIV,Alcohol use,Sexual risk behaviors,Regression analysis using summation score,High prevalence of psychiatric conditions (PTSD and depression) as well as substance use among older MSM living with HIV. These psychosocial burdens are associated with unprotected anal intercourse.
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Depression,PrEP use,Regression analysis using summation score,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence."
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Substance use,PrEP use,Regression analysis using summation score,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence."
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,IPV,PrEP use,Regression analysis using summation score,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence."
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Binge drinking,PrEP use,Regression analysis using summation score,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence."
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,CSA,PrEP use,Regression analysis using summation score,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence."
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Polysubstance use,PrEP use,Regression analysis using summation score,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence."
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Incarceration,PrEP use,Regression analysis using summation score,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence."
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Unstable housing,PrEP use,Regression analysis using summation score,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence."
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Poverty,PrEP use,Regression analysis using summation score,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence."
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Depression,Sexual risk behaviors,Network Analysis,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS"
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Substance use,Sexual risk behaviors,Network Analysis,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS"
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,IPV,Sexual risk behaviors,Network Analysis,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS"
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,IDU,Sexual risk behaviors,Network Analysis,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS"
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,CSA,Sexual risk behaviors,Network Analysis,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS"
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Incarceration,Sexual risk behaviors,Network Analysis,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS"
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Unstable housing,Sexual risk behaviors,Network Analysis,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS"
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Poverty,Sexual risk behaviors,Network Analysis,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS"
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Alcohol use,Sexual risk behaviors,Network Analysis,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS"
Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Adolescent MSM,Substance use,Sexual risk behaviors,Regression analysis using summation score,"Syndemic conditions emerge early in the lifespan and are associated with early sexual experiences. Internalizing symptoms, problematic alcohol use, CSA and marijuana use were highly prevalent and interrelated."
Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Adolescent MSM,CSA,Sexual risk behaviors,Regression analysis using summation score,"Syndemic conditions emerge early in the lifespan and are associated with early sexual experiences. Internalizing symptoms, problematic alcohol use, CSA and marijuana use were highly prevalent and interrelated."
Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Adolescent MSM,Alcohol Use Disorder,Sexual risk behaviors,Regression analysis using summation score,"Syndemic conditions emerge early in the lifespan and are associated with early sexual experiences. Internalizing symptoms, problematic alcohol use, CSA and marijuana use were highly prevalent and interrelated."
Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Adolescent MSM,General mental distress,Sexual risk behaviors,Regression analysis using summation score,"Syndemic conditions emerge early in the lifespan and are associated with early sexual experiences. Internalizing symptoms, problematic alcohol use, CSA and marijuana use were highly prevalent and interrelated."
Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Depression,PrEP use,Relative Excess Risk due to Interaction,"BMSM on PrEP were most likely to suffer from IPV, engage in problematic binge drinking and polysubstance use. Synergy was found between all the syndemic conditions"
