title,main_author,publication_year,country,design,subpopulation_studied,stat_name,condition_name
"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Older MSM living with HIV,Regression analysis using summation score,Alcohol use
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Depression
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Substance use
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,IPV
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Binge drinking
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,CSA
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Polysubstance use
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Incarceration
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Unstable housing
Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Poverty
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Network Analysis,Depression
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Network Analysis,Substance use
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Network Analysis,IPV
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Network Analysis,IDU
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Network Analysis,CSA
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Network Analysis,Incarceration
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Network Analysis,Unstable housing
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Network Analysis,Poverty
Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Latino MSM,Network Analysis,Alcohol use
Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Adolescent MSM,Regression analysis using summation score,Substance use
Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Adolescent MSM,Regression analysis using summation score,CSA
Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Adolescent MSM,Regression analysis using summation score,Alcohol Use Disorder
Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Adolescent MSM,Regression analysis using summation score,General mental distress
Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Relative Excess Risk due to Interaction,Depression
Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Regression analysis using summation score,Depression
Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Relative Excess Risk due to Interaction,IPV
Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Regression analysis using summation score,IPV
Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Relative Excess Risk due to Interaction,Binge drinking
Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Regression analysis using summation score,Binge drinking
Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Relative Excess Risk due to Interaction,Polysubstance use
Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Regression analysis using summation score,Polysubstance use
"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,,Observed/Expected ratio,Depression
"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,,Observed/Expected ratio,IPV
"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,,Observed/Expected ratio,Suicidality
"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,,Observed/Expected ratio,Anxiety
"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,,Observed/Expected ratio,STI
"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,,Observed/Expected ratio,Poor physical health
"Using Syndemics Theory to Examine HIV Sexual Risk Among Latinx Men Who Have Sex with Men in Philadelphia, PA: Findings from the National HIV Behavioral Surveillance.",Martinez et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Binge drinking
"Using Syndemics Theory to Examine HIV Sexual Risk Among Latinx Men Who Have Sex with Men in Philadelphia, PA: Findings from the National HIV Behavioral Surveillance.",Martinez et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Exchange sex
"Using Syndemics Theory to Examine HIV Sexual Risk Among Latinx Men Who Have Sex with Men in Philadelphia, PA: Findings from the National HIV Behavioral Surveillance.",Martinez et al.,2020,USA,Cross-sectional,Latino MSM,Regression analysis using summation score,Discrimination
"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,,Regression analysis using summation score,Depression
"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,,Regression analysis using summation score,Substance use
"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,,Regression analysis using summation score,PTSD
"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,,Regression analysis using summation score,Alcohol Use Disorder
"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,,Regression analysis using summation score,Tobacco use
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Moderation analysis,Depression
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Relative Excess Risk due to Interaction,Depression
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Regression analysis using summation score,Depression
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Moderation analysis,IPV
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Relative Excess Risk due to Interaction,IPV
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Regression analysis using summation score,IPV
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Moderation analysis,CSA
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Relative Excess Risk due to Interaction,CSA
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Regression analysis using summation score,CSA
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Moderation analysis,Chemsex
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Relative Excess Risk due to Interaction,Chemsex
"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,,Regression analysis using summation score,Chemsex
"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Latino MSM,Regression analysis using summation score,Incarceration
"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Latino MSM,Regression analysis using summation score,Unstable housing
"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Latino MSM,Regression analysis using summation score,Unemployment
"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Latino MSM,Regression analysis using summation score,Poor healthcare access
"Drug use, depression and sexual risk behaviour: a syndemic among early pre-exposure prophylaxis (PrEP) adopters in Belgium?.",Nostlinger et al.,2020,Belgium,Longitudinal,,Significant product term ,Depression
"Drug use, depression and sexual risk behaviour: a syndemic among early pre-exposure prophylaxis (PrEP) adopters in Belgium?.",Nostlinger et al.,2020,Belgium,Longitudinal,,Regression analysis using summation score,Depression
"Drug use, depression and sexual risk behaviour: a syndemic among early pre-exposure prophylaxis (PrEP) adopters in Belgium?.",Nostlinger et al.,2020,Belgium,Longitudinal,,Significant product term ,Substance use
"Drug use, depression and sexual risk behaviour: a syndemic among early pre-exposure prophylaxis (PrEP) adopters in Belgium?.",Nostlinger et al.,2020,Belgium,Longitudinal,,Regression analysis using summation score,Substance use
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Relative Excess Risk due to Interaction,Depression
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Regression analysis using summation score,Depression
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Relative Excess Risk due to Interaction,IPV
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Regression analysis using summation score,IPV
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Relative Excess Risk due to Interaction,Binge drinking
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Regression analysis using summation score,Binge drinking
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Relative Excess Risk due to Interaction,Polysubstance use
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Regression analysis using summation score,Polysubstance use
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Relative Excess Risk due to Interaction,Sexual risk behaviors
Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Black MSM,Regression analysis using summation score,Sexual risk behaviors
Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,MSM living with HIV,Regression analysis using summation score,Depression
Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,MSM living with HIV,Regression analysis using summation score,Substance use
Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,MSM living with HIV,Regression analysis using summation score,PTSD
Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,MSM living with HIV,Regression analysis using summation score,Binge drinking
Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,MSM living with HIV,Regression analysis using summation score,Anxiety
Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,MSM living with HIV,Regression analysis using summation score,CSA
Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,MSM living with HIV,Regression analysis using summation score,Polysubstance use
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Moderation analysis,Depression
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Regression analysis using summation score,Depression
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Moderation analysis,IPV
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Regression analysis using summation score,IPV
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Moderation analysis,CSA
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Regression analysis using summation score,CSA
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Moderation analysis,Alcohol Use Disorder
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Regression analysis using summation score,Alcohol Use Disorder
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Moderation analysis,Unemployment
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Regression analysis using summation score,Unemployment
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Moderation analysis,Substance use disorder
Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Black MSM,Regression analysis using summation score,Substance use disorder
Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,,Regression analysis using summation score,Substance use
Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,,Regression analysis using summation score,IPV
Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,,Regression analysis using summation score,Suicidality
Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,,Regression analysis using summation score,CSA
