refid,title,main_author,publication_year,country,design,outcome_name,hiv_related,subpopulation_studied,condition_name
30,"Using Syndemics Theory to Examine HIV Sexual Risk Among Latinx Men Who Have Sex with Men in Philadelphia, PA: Findings from the National HIV Behavioral Surveillance.",Martinez et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Binge drinking
30,"Using Syndemics Theory to Examine HIV Sexual Risk Among Latinx Men Who Have Sex with Men in Philadelphia, PA: Findings from the National HIV Behavioral Surveillance.",Martinez et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Exchange sex
30,"Using Syndemics Theory to Examine HIV Sexual Risk Among Latinx Men Who Have Sex with Men in Philadelphia, PA: Findings from the National HIV Behavioral Surveillance.",Martinez et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Discrimination
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,Sexual risk behaviors,t,,Depression
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,Sexual risk behaviors,t,,Substance use
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,Sexual risk behaviors,t,,PTSD
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,Sexual risk behaviors,t,,Alcohol Use Disorder
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,Sexual risk behaviors,t,,Tobacco use
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,HIV diagnosis,t,,Depression
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,Sexual risk behaviors,t,,Depression
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,HIV diagnosis,t,,IPV
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,Sexual risk behaviors,t,,IPV
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,HIV diagnosis,t,,CSA
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,Sexual risk behaviors,t,,CSA
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,HIV diagnosis,t,,Chemsex
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,Sexual risk behaviors,t,,Chemsex
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Viral load,t,Latino MSM,Incarceration
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Sexual risk behaviors,t,Latino MSM,Incarceration
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Viral load,t,Latino MSM,Unstable housing
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Sexual risk behaviors,t,Latino MSM,Unstable housing
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Viral load,t,Latino MSM,Unemployment
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Sexual risk behaviors,t,Latino MSM,Unemployment
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Viral load,t,Latino MSM,Poor healthcare access
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Sexual risk behaviors,t,Latino MSM,Poor healthcare access
36,"Drug use, depression and sexual risk behaviour: a syndemic among early pre-exposure prophylaxis (PrEP) adopters in Belgium?.",Nostlinger et al.,2020,Belgium,Longitudinal,Sexual risk behaviors,t,,Depression
36,"Drug use, depression and sexual risk behaviour: a syndemic among early pre-exposure prophylaxis (PrEP) adopters in Belgium?.",Nostlinger et al.,2020,Belgium,Longitudinal,Sexual risk behaviors,t,,Substance use
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,HIV screening,t,Black MSM,Depression
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,HIV screening,t,Black MSM,IPV
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,HIV screening,t,Black MSM,Binge drinking
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,HIV screening,t,Black MSM,Polysubstance use
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,HIV screening,t,Black MSM,Sexual risk behaviors
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Sexual risk behaviors,t,MSM living with HIV,Depression
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Sexual risk behaviors,t,MSM living with HIV,Substance use
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Sexual risk behaviors,t,MSM living with HIV,PTSD
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Sexual risk behaviors,t,MSM living with HIV,Binge drinking
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Sexual risk behaviors,t,MSM living with HIV,Anxiety
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Sexual risk behaviors,t,MSM living with HIV,CSA
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Sexual risk behaviors,t,MSM living with HIV,Polysubstance use
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Physical activity,f,Black MSM,Depression
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Physical activity,f,Black MSM,IPV
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Physical activity,f,Black MSM,CSA
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Physical activity,f,Black MSM,Alcohol Use Disorder
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Physical activity,f,Black MSM,Unemployment
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Physical activity,f,Black MSM,Substance use disorder
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,Healthcare use,f,,Substance use
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,HIV diagnosis,t,,Substance use
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,Healthcare use,f,,IPV
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,HIV diagnosis,t,,IPV
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,Healthcare use,f,,Suicidality
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,HIV diagnosis,t,,Suicidality
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,Healthcare use,f,,CSA
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,HIV diagnosis,t,,CSA
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Suicidality,f,,Depression
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Suicidality,f,,Substance use
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Suicidality,f,,Anxiety
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Suicidality,f,,Tobacco use
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Suicidality,f,,Sexual risk behaviors
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Suicidality,f,,STI
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Suicidality,f,,HIV
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,STI diagnosis,f,MSM with a history of CSA,Depression
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Healthcare use,f,MSM with a history of CSA,Depression
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Sexual risk behaviors,t,MSM with a history of CSA,Depression
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,STI diagnosis,f,MSM with a history of CSA,PTSD
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Healthcare use,f,MSM with a history of CSA,PTSD
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Sexual risk behaviors,t,MSM with a history of CSA,PTSD
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,STI diagnosis,f,MSM with a history of CSA,Anxiety
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Healthcare use,f,MSM with a history of CSA,Anxiety
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Sexual risk behaviors,t,MSM with a history of CSA,Anxiety
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,STI diagnosis,f,MSM with a history of CSA,Substance use disorder
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Healthcare use,f,MSM with a history of CSA,Substance use disorder
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Sexual risk behaviors,t,MSM with a history of CSA,Substance use disorder
58,Validating the Syndemic Threat Surrounding Sexual Minority Men's Health in a Population-Based Study With National Registry Linkage and a Heterosexual Comparison.,Brandstrom and Pachankis,2018,Sweden,Population-based cohort study,HIV diagnosis,t,,Depression
58,Validating the Syndemic Threat Surrounding Sexual Minority Men's Health in a Population-Based Study With National Registry Linkage and a Heterosexual Comparison.,Brandstrom and Pachankis,2018,Sweden,Population-based cohort study,HIV diagnosis,t,,Binge drinking
58,Validating the Syndemic Threat Surrounding Sexual Minority Men's Health in a Population-Based Study With National Registry Linkage and a Heterosexual Comparison.,Brandstrom and Pachankis,2018,Sweden,Population-based cohort study,HIV diagnosis,t,,Suicidality
58,Validating the Syndemic Threat Surrounding Sexual Minority Men's Health in a Population-Based Study With National Registry Linkage and a Heterosexual Comparison.,Brandstrom and Pachankis,2018,Sweden,Population-based cohort study,HIV diagnosis,t,,Violence
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Sexual risk behaviors,t,,Depression
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Sexual risk behaviors,t,,IPV
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Sexual risk behaviors,t,,Sexual compulsivity
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Sexual risk behaviors,t,,Anxiety
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Sexual risk behaviors,t,,CSA
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Sexual risk behaviors,t,,Alcohol Use Disorder
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Sexual risk behaviors,t,,Substance use disorder
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,Depression
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,Substance use
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,PTSD
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,Binge drinking
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,Anxiety
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,CSA
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,Polysubstance use
61,High prevalence of syndemic health problems in patients seeking post-exposure prophylaxis for sexual exposures to HIV.,Morrison et al.,2018,Canada,Cross-sectional,Sexual risk behaviors,t,,Depression
61,High prevalence of syndemic health problems in patients seeking post-exposure prophylaxis for sexual exposures to HIV.,Morrison et al.,2018,Canada,Cross-sectional,Sexual risk behaviors,t,,Sexual compulsivity
61,High prevalence of syndemic health problems in patients seeking post-exposure prophylaxis for sexual exposures to HIV.,Morrison et al.,2018,Canada,Cross-sectional,Sexual risk behaviors,t,,Alcohol Use Disorder
