refid,title,main_author,publication_year,country,design,condition_name,category,subpopulation_studied
15,"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Alcohol use,social,Older MSM living with HIV
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Depression,mental health,Latino MSM
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Substance use,social,Latino MSM
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,IPV,social,Latino MSM
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Binge drinking,social,Latino MSM
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,CSA,social,Latino MSM
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Polysubstance use,social,Latino MSM
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Incarceration,structural,Latino MSM
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Unstable housing,structural,Latino MSM
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,Poverty,structural,Latino MSM
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Depression,mental health,Latino MSM
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Substance use,social,Latino MSM
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,IPV,social,Latino MSM
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,IDU,social,Latino MSM
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,CSA,social,Latino MSM
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Incarceration,structural,Latino MSM
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Unstable housing,structural,Latino MSM
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Poverty,structural,Latino MSM
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Alcohol use,social,Latino MSM
21,Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Substance use,social,Adolescent MSM
21,Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,CSA,social,Adolescent MSM
21,Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Alcohol Use Disorder,mental health,Adolescent MSM
21,Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,General mental distress,mental health,Adolescent MSM
25,Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Depression,mental health,Black MSM
25,Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,IPV,social,Black MSM
25,Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Binge drinking,social,Black MSM
25,Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,Polysubstance use,social,Black MSM
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Depression,mental health,
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,IPV,social,
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Suicidality,mental health,
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Anxiety,mental health,
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,STI,physical health,
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Poor physical health,physical health,
30,"Using Syndemics Theory to Examine HIV Sexual Risk Among Latinx Men Who Have Sex with Men in Philadelphia, PA: Findings from the National HIV Behavioral Surveillance.",Martinez et al.,2020,USA,Cross-sectional,Binge drinking,social,Latino MSM
30,"Using Syndemics Theory to Examine HIV Sexual Risk Among Latinx Men Who Have Sex with Men in Philadelphia, PA: Findings from the National HIV Behavioral Surveillance.",Martinez et al.,2020,USA,Cross-sectional,Exchange sex,social,Latino MSM
30,"Using Syndemics Theory to Examine HIV Sexual Risk Among Latinx Men Who Have Sex with Men in Philadelphia, PA: Findings from the National HIV Behavioral Surveillance.",Martinez et al.,2020,USA,Cross-sectional,Discrimination,structural,Latino MSM
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,Depression,mental health,
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,Substance use,social,
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,PTSD,mental health,
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,Alcohol Use Disorder,mental health,
32,"A syndemic of psychosocial health problems is associated with increased HIV sexual risk among Nigerian gay, bisexual, and other men who have sex with men (GBMSM).",Ogunbajo et al.,2019,Nigeria,Cross-sectional,Tobacco use,social,
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,Depression,mental health,
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,IPV,social,
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,CSA,social,
33,"Syndemic Factors and HIV Risk Among Men Who Have Sex with Men in Guangzhou, China: Evidence from Synergy and Moderated Analyses.",Jiang et al.,2020,China,Cross-sectional,Chemsex,social,
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Incarceration,structural,Latino MSM
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Unstable housing,structural,Latino MSM
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Unemployment,structural,Latino MSM
34,"Investigating possible syndemic relationships between structural and drug use factors, sexual HIV transmission and viral load among men of colour who have sex with men in Los Angeles County.",Quinn et al.,2020,USA,Longitudinal,Poor healthcare access,structural,Latino MSM
36,"Drug use, depression and sexual risk behaviour: a syndemic among early pre-exposure prophylaxis (PrEP) adopters in Belgium?.",Nostlinger et al.,2020,Belgium,Longitudinal,Depression,mental health,
36,"Drug use, depression and sexual risk behaviour: a syndemic among early pre-exposure prophylaxis (PrEP) adopters in Belgium?.",Nostlinger et al.,2020,Belgium,Longitudinal,Substance use,social,
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Depression,mental health,Black MSM
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,IPV,social,Black MSM
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Binge drinking,social,Black MSM
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Polysubstance use,social,Black MSM
40,Examining the Impact of a Psychosocial Syndemic on Past Six-Month HIV Screening Behavior of Black Men who have Sex with Men in the United States: Results from the POWER Study.,Chandler et al.,2020,USA,Cross-sectional,Sexual risk behaviors,social,Black MSM
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Depression,mental health,MSM living with HIV
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Substance use,social,MSM living with HIV
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,PTSD,mental health,MSM living with HIV
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Binge drinking,social,MSM living with HIV
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Anxiety,mental health,MSM living with HIV
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,CSA,social,MSM living with HIV
43,Longitudinal Effects of Syndemics on HIV-Positive Sexual Minority Men's Sexual Health Behaviors.,Harkness et al.,2019,USA,Longitudinal,Polysubstance use,social,MSM living with HIV
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Depression,mental health,Black MSM
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,IPV,social,Black MSM
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,CSA,social,Black MSM
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Alcohol Use Disorder,mental health,Black MSM
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Unemployment,structural,Black MSM
44,Syndemic conditions predict lower levels of physical activity among African American men who have sex with men: A prospective survey study.,Zhang et al.,2019,USA,Longitudinal,Substance use disorder,mental health,Black MSM
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,Substance use,social,
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,IPV,social,
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,Suicidality,mental health,
45,Co-occurring psychosocial problems predict HIV status and increased health care costs and utilization among sexual minority men.,OCleirigh et al.,2018,USA,Cross-sectional,CSA,social,
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Depression,mental health,
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Substance use,social,
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Anxiety,mental health,
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Tobacco use,social,
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,Sexual risk behaviors,social,
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,STI,physical health,
47,Suicide related ideation and behavior among Canadian gay and bisexual men: a syndemic analysis.,Ferlatte et al.,2015,Canada,Cross-sectional,HIV,physical health,
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Depression,mental health,MSM with a history of CSA
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,PTSD,mental health,MSM with a history of CSA
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Anxiety,mental health,MSM with a history of CSA
51,Effects of syndemic psychiatric diagnoses on health indicators in men who have sex with men.,Batchelder et al.,2019,USA,Cross-sectional,Substance use disorder,mental health,MSM with a history of CSA
55,Childhood sexual abuse among Black men who have sex with men: A cornerstone of a syndemic?.,Wu Elwin,2018,USA,Cross-sectional,Substance use,social,Black MSM
55,Childhood sexual abuse among Black men who have sex with men: A cornerstone of a syndemic?.,Wu Elwin,2018,USA,Cross-sectional,IPV,social,Black MSM
55,Childhood sexual abuse among Black men who have sex with men: A cornerstone of a syndemic?.,Wu Elwin,2018,USA,Cross-sectional,Binge drinking,social,Black MSM
55,Childhood sexual abuse among Black men who have sex with men: A cornerstone of a syndemic?.,Wu Elwin,2018,USA,Cross-sectional,CSA,social,Black MSM
55,Childhood sexual abuse among Black men who have sex with men: A cornerstone of a syndemic?.,Wu Elwin,2018,USA,Cross-sectional,Sexual risk behaviors,social,Black MSM
58,Validating the Syndemic Threat Surrounding Sexual Minority Men's Health in a Population-Based Study With National Registry Linkage and a Heterosexual Comparison.,Brandstrom and Pachankis,2018,Sweden,Population-based cohort study,Depression,mental health,
58,Validating the Syndemic Threat Surrounding Sexual Minority Men's Health in a Population-Based Study With National Registry Linkage and a Heterosexual Comparison.,Brandstrom and Pachankis,2018,Sweden,Population-based cohort study,Binge drinking,social,
58,Validating the Syndemic Threat Surrounding Sexual Minority Men's Health in a Population-Based Study With National Registry Linkage and a Heterosexual Comparison.,Brandstrom and Pachankis,2018,Sweden,Population-based cohort study,Suicidality,mental health,
58,Validating the Syndemic Threat Surrounding Sexual Minority Men's Health in a Population-Based Study With National Registry Linkage and a Heterosexual Comparison.,Brandstrom and Pachankis,2018,Sweden,Population-based cohort study,Violence,social,
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Depression,mental health,
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,IPV,social,
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Sexual compulsivity,mental health,
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Anxiety,mental health,
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,CSA,social,
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Alcohol Use Disorder,mental health,
59,Condom-use self-efficacy as a mediator between syndemics and condomless sex in men who have sex with men (MSM).,Safren et al.,2018,USA,Longitudinal,Substance use disorder,mental health,
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Depression,mental health,MSM living with HIV
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Substance use,social,MSM living with HIV
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,PTSD,mental health,MSM living with HIV
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Binge drinking,social,MSM living with HIV
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Anxiety,mental health,MSM living with HIV
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,CSA,social,MSM living with HIV
60,Longitudinal Effects of Syndemics on ART Non-adherence Among Sexual Minority Men.,Harkness et al.,2018,USA,Longitudinal,Polysubstance use,social,MSM living with HIV
61,High prevalence of syndemic health problems in patients seeking post-exposure prophylaxis for sexual exposures to HIV.,Morrison et al.,2018,Canada,Cross-sectional,Depression,mental health,
61,High prevalence of syndemic health problems in patients seeking post-exposure prophylaxis for sexual exposures to HIV.,Morrison et al.,2018,Canada,Cross-sectional,Sexual compulsivity,mental health,
61,High prevalence of syndemic health problems in patients seeking post-exposure prophylaxis for sexual exposures to HIV.,Morrison et al.,2018,Canada,Cross-sectional,Alcohol Use Disorder,mental health,
61,High prevalence of syndemic health problems in patients seeking post-exposure prophylaxis for sexual exposures to HIV.,Morrison et al.,2018,Canada,Cross-sectional,Substance use disorder,mental health,
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,Depression,mental health,
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,Substance use,social,
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,IPV,social,
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,CSA,social,
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,Alcohol Use Disorder,mental health,
65,"The additive effects of depressive symptoms and polysubstance use on HIV risk among gay, bisexual, and other men who have sex with men.",Card et al.,2018,Canada,Cross-sectional,Depression,mental health,
65,"The additive effects of depressive symptoms and polysubstance use on HIV risk among gay, bisexual, and other men who have sex with men.",Card et al.,2018,Canada,Cross-sectional,Polysubstance use,social,
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,Substance use,social,
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,IPV,social,
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,Binge drinking,social,
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,Suicidality,mental health,
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,General mental distress,mental health,
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,Depression,mental health,
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,CSA,social,
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,Substance use disorder,mental health,
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,Sleep disturbance,mental health,
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,Childhood abuse,social,
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Depression,mental health,
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Sexual compulsivity,mental health,
